,발생연도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
140,2019,강원화천서,0,0,60,68,1,1,1,1,1.0
141,2019,강원횡성서,3,0,90,192,1,1,1,3,1.5
142,2019,충북괴산서,0,2,347,279,2,2,1,1,1.5
143,2019,충북단양서,1,0,71,158,1,1,1,2,1.25
144,2019,충북보은서,0,1,91,136,2,1,1,1,1.25
145,2019,충북영동서,3,2,124,183,2,1,1,3,1.75
146,2019,충북옥천서,0,0,89,204,1,1,1,1,1.0
147,2019,충북음성서,1,1,331,564,2,2,2,2,2.0
148,2019,충북제천서,3,4,386,587,3,2,2,3,2.5
149,2019,충북진천서,2,1,245,440,2,2,2,2,2.0
150,2019,충북청주청원서,5,8,1084,1772,4,3,3,4,3.5
151,2019,충북청주흥덕서,2,11,1438,1566,4,4,3,2,3.25
152,2019,충북충주서,5,2,832,956,2,3,2,4,2.75
153,2019,충북청주상당서,7,3,909,1346,2,3,3,4,3.0
154,2019,충남천안서북서,9,11,1836,2050,4,4,4,4,4.0
155,2019,충남천안동남서,4,2,1493,1377,2,4,3,3,3.0
156,2019,충남서산서,2,1,466,994,2,2,2,2,2.0
157,2019,충남아산서,7,12,1297,2014,4,4,4,4,4.0
158,2019,충남논산서,7,0,509,643,1,2,2,4,2.25
159,2019,충남공주서,0,3,374,472,2,2,2,1,1.75
160,2019,충남보령서,1,0,329,477,1,2,2,2,1.75
161,2019,충남당진서,5,1,543,730,2,2,2,4,2.5
162,2019,충남홍성서,2,0,328,368,1,2,2,2,1.75
163,2019,충남예산서,0,0,249,296,1,2,1,1,1.25
164,2019,충남부여서,2,0,234,197,1,2,1,2,1.5
165,2019,충남서천서,1,1,120,161,2,1,1,2,1.5
166,2019,충남금산서,1,0,169,151,1,1,1,2,1.25
167,2019,충남청양서,0,0,58,74,1,1,1,1,1.0
168,2019,충남태안서,1,0,207,271,1,2,1,2,1.5
169,2019,전북고창서,0,1,159,203,2,1,1,1,1.25
170,2019,전북군산서,5,7,925,1640,4,3,3,4,3.5
171,2019,전북김제서,1,0,219,387,1,2,2,2,1.75
172,2019,전북남원서,3,2,202,352,2,2,2,3,2.25
173,2019,전북무주서,0,0,51,105,1,1,1,1,1.0
174,2019,전북부안서,0,1,187,248,2,1,1,1,1.25
175,2019,전북순창서,0,1,72,81,2,1,1,1,1.25
176,2019,전북완주서,0,0,217,345,1,2,2,1,1.5
177,2019,전북익산서,11,2,1093,1612,2,3,3,4,3.0
178,2019,전북임실서,1,0,39,76,1,1,1,2,1.25
179,2019,전북장수서,0,0,42,61,1,1,1,1,1.0
180,2019,전북전주덕진서,6,5,1055,1355,3,3,3,4,3.25
181,2019,전북전주완산서,6,5,1150,1632,3,3,3,4,3.25
182,2019,전북정읍서,1,1,363,501,2,2,2,2,2.0
183,2019,전북진안서,0,0,44,76,1,1,1,1,1.0
184,2019,전남목포서,4,8,1225,2054,4,4,4,3,3.75
185,2019,전남여수서,1,3,897,1978,2,3,4,2,2.75
186,2019,전남순천서,4,1,782,1688,2,3,3,3,2.75
187,2019,전남나주서,3,4,370,415,3,2,2,3,2.5
188,2019,전남광양서,1,0,372,756,1,2,2,2,1.75
189,2019,전남고흥서,2,1,150,298,2,1,1,2,1.5
190,2019,전남해남서,1,1,201,274,2,2,1,2,1.75
191,2019,전남장흥서,0,0,143,217,1,1,1,1,1.0
192,2019,전남보성서,0,0,109,155,1,1,1,1,1.0
193,2019,전남영광서,1,1,111,197,2,1,1,2,1.5
194,2019,전남화순서,1,0,150,283,1,1,1,2,1.25
195,2019,전남함평서,1,3,80,110,2,1,1,2,1.5
196,2019,전남영암서,1,1,191,280,2,1,1,2,1.5
197,2019,전남장성서,0,0,88,180,1,1,1,1,1.0
198,2019,전남강진서,3,1,75,218,2,1,1,3,1.75
199,2019,전남담양서,0,0,140,168,1,1,1,1,1.0
200,2019,전남곡성서,0,1,52,96,2,1,1,1,1.25
201,2019,전남완도서,1,1,148,300,2,1,1,2,1.5
202,2019,전남무안서,1,1,187,225,2,1,1,2,1.5
203,2019,전남진도서,0,0,111,159,1,1,1,1,1.0
204,2019,전남구례서,0,0,75,138,1,1,1,1,1.0
205,2019,경북경주서,3,5,1017,1254,3,3,3,3,3.0
206,2019,경북포항북부서,4,1,1000,1483,2,3,3,3,2.75
207,2019,경북포항남부서,1,3,991,1277,2,3,3,2,2.5
208,2019,경북구미서,5,3,1521,1931,2,4,4,4,3.5
209,2019,경북경산서,3,3,1087,1660,2,3,3,3,2.75
210,2019,경북안동서,2,1,458,849,2,2,2,2,2.0
211,2019,경북김천서,2,2,416,825,2,2,2,2,2.0
212,2019,경북영주서,2,2,240,522,2,2,2,2,2.0
213,2019,경북영천서,1,3,358,517,2,2,2,2,2.0
214,2019,경북상주서,2,0,287,428,1,2,2,2,1.75
215,2019,경북문경서,1,0,169,366,1,1,2,2,1.5
216,2019,경북칠곡서,2,1,354,599,2,2,2,2,2.0
217,2019,경북의성서,3,0,151,193,1,1,1,3,1.5
218,2019,경북청도서,1,0,91,233,1,1,1,2,1.25
219,2019,경북영덕서,1,0,109,187,1,1,1,2,1.25
220,2019,경북울진서,1,0,98,220,1,1,1,2,1.25
221,2019,경북봉화서,0,0,45,103,1,1,1,1,1.0
222,2019,경북예천서,1,0,88,175,1,1,1,2,1.25
223,2019,경북성주서,1,1,123,195,2,1,1,2,1.5
224,2019,경북청송서,0,0,44,170,1,1,1,1,1.0
225,2019,경북영양서,0,0,14,58,1,1,1,1,1.0
226,2019,경북군위서,0,0,48,68,1,1,1,1,1.0
227,2019,경북고령서,1,1,78,83,2,1,1,2,1.5
228,2019,경북울릉서,0,0,12,44,1,1,1,1,1.0
229,2019,경남창원중부서,2,3,1040,1400,2,3,3,2,2.5
230,2019,경남창원서부서,2,3,833,1024,2,3,2,2,2.25
231,2019,경남마산중부서,8,2,454,839,2,2,2,4,2.5
232,2019,경남마산동부서,5,2,840,1230,2,3,3,4,3.0
233,2019,경남진주서,4,3,1605,1675,2,4,3,3,3.0
234,2019,경남김해중부서,1,7,1340,2157,4,4,4,2,3.5
235,2019,경남김해서부서,1,2,866,1061,2,3,2,2,2.25
236,2019,경남양산서,4,6,1278,1694,3,4,3,3,3.25
237,2019,경남거제서,4,2,767,1342,2,2,3,3,2.5
238,2019,경남진해서,1,0,530,849,1,2,2,2,1.75
239,2019,경남통영서,3,4,463,851,3,2,2,3,2.5
240,2019,경남사천서,3,0,269,658,1,2,2,3,2.0
241,2019,경남밀양서,3,0,301,476,1,2,2,3,2.0
242,2019,경남거창서,0,0,130,281,1,1,1,1,1.0
243,2019,경남합천서,1,0,67,149,1,1,1,2,1.25
244,2019,경남창녕서,4,2,108,175,2,1,1,3,1.75
245,2019,경남고성서,3,0,168,260,1,1,1,3,1.5
246,2019,경남하동서,1,0,108,125,1,1,1,2,1.25
247,2019,경남남해서,2,0,82,168,1,1,1,2,1.25
248,2019,경남함양서,0,0,86,145,1,1,1,1,1.0
249,2019,경남산청서,0,0,68,112,1,1,1,1,1.0
250,2019,경남함안서,1,0,107,197,1,1,1,2,1.25
251,2019,경남의령서,0,2,34,125,2,1,1,1,1.25
252,2019,제주서귀포서,4,7,897,1291,4,3,3,3,3.25
253,2019,제주동부서,11,3,1173,1948,2,3,4,4,3.25
254,2019,제주서부서,5,11,1144,1870,4,3,4,4,3.75
