,발생년도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
0,2016,서울중부서,2,3,1204,1335,2,3,3,2,2.5
1,2016,서울종로서,4,6,952,1291,3,3,3,3,3.0
2,2016,서울남대문서,1,5,946,890,3,3,2,2,2.5
3,2016,서울서대문서,6,5,1503,1976,3,4,4,4,3.75
4,2016,서울혜화서,2,6,988,972,3,3,2,2,2.5
5,2016,서울용산서,4,9,1489,2384,4,4,4,3,3.75
6,2016,서울성북서,2,3,790,1176,2,3,3,2,2.5
7,2016,서울동대문서,5,10,1940,2642,4,4,4,4,4.0
8,2016,서울마포서,4,4,2527,2939,3,4,4,3,3.5
9,2016,서울영등포서,13,19,2341,3593,4,4,4,4,4.0
10,2016,서울성동서,4,3,1296,1619,2,4,3,3,3.0
11,2016,서울동작서,8,7,1226,1661,4,4,3,4,3.75
12,2016,서울광진서,4,11,2636,2392,4,4,4,3,3.75
13,2016,서울서부서,4,4,781,1128,3,2,3,3,2.75
14,2016,서울강북서,7,5,1222,2778,3,4,4,4,3.75
15,2016,서울금천서,6,7,1264,2193,4,4,4,4,4.0
16,2016,서울중랑서,8,14,1691,3164,4,4,4,4,4.0
17,2016,서울강남서,3,24,2438,2336,4,4,4,3,3.75
18,2016,서울관악서,6,12,2103,3235,4,4,4,4,4.0
19,2016,서울강서서,9,10,1952,3204,4,4,4,4,4.0
20,2016,서울강동서,4,14,1754,2530,4,4,4,3,3.75
21,2016,서울종암서,2,5,680,932,3,2,2,2,2.25
22,2016,서울구로서,9,10,1910,3164,4,4,4,4,4.0
23,2016,서울서초서,4,9,1733,1838,4,4,3,3,3.5
24,2016,서울양천서,5,7,1719,2250,4,4,4,4,4.0
25,2016,서울송파서,9,15,2543,3289,4,4,4,4,4.0
26,2016,서울노원서,5,6,1857,2516,3,4,4,4,3.75
27,2016,서울방배서,1,4,472,500,3,2,2,2,2.25
28,2016,서울은평서,2,5,885,1536,3,3,3,2,2.75
29,2016,서울도봉서,3,5,866,1441,3,3,3,3,3.0
30,2016,서울수서서,2,15,1149,1666,4,3,3,2,3.0
31,2016,부산중부서,6,10,902,863,4,3,2,4,3.25
32,2016,부산동래서,3,21,1123,1453,4,3,3,3,3.25
33,2016,부산영도서,4,7,551,704,4,2,2,3,2.75
34,2016,부산동부서,6,8,749,851,4,2,2,4,3.0
35,2016,부산진서,5,16,3017,3244,4,4,4,4,4.0
36,2016,부산서부서,1,2,773,690,2,2,2,2,2.0
37,2016,부산남부서,7,10,1689,2131,4,4,4,4,4.0
38,2016,부산해운대서,5,11,1576,2110,4,4,4,4,4.0
39,2016,부산사상서,9,10,1160,1371,4,3,3,4,3.5
40,2016,부산금정서,4,6,1017,1140,3,3,3,3,3.0
41,2016,부산사하서,9,7,1149,1626,4,3,3,4,3.5
42,2016,부산연제서,2,10,974,1581,4,3,3,2,3.0
43,2016,부산강서서,2,3,501,439,2,2,2,2,2.0
44,2016,부산북부서,6,12,1034,1524,4,3,3,4,3.5
45,2016,부산기장서,1,4,551,668,3,2,2,2,2.25
46,2016,대구중부서,0,2,1158,1120,2,3,3,1,2.25
47,2016,대구동부서,3,8,1209,2236,4,3,4,3,3.5
48,2016,대구서부서,7,5,756,1733,3,2,3,4,3.0
49,2016,대구남부서,4,5,701,1153,3,2,3,3,2.75
50,2016,대구북부서,1,4,894,1190,3,3,3,2,2.75
51,2016,대구수성서,3,10,1214,2096,4,3,4,3,3.5
52,2016,대구달서서,3,3,850,1445,2,3,3,3,2.75
53,2016,대구성서서,5,5,1413,1936,3,4,4,4,3.75
54,2016,대구달성서,2,5,448,779,3,2,2,2,2.25
55,2016,대구강북서,2,4,541,866,3,2,2,2,2.25
56,2016,인천중부서,3,2,748,1769,2,2,3,3,2.5
57,2016,인천남부서,12,17,1675,3427,4,4,4,4,4.0
58,2016,인천남동서,5,19,1802,3834,4,4,4,4,4.0
59,2016,인천부평서,3,5,1190,1738,3,3,3,3,3.0
60,2016,인천서부서,9,14,1170,2699,4,3,4,4,3.75
61,2016,인천계양서,8,14,849,1985,4,3,4,4,3.75
62,2016,인천강화서,0,1,120,398,2,1,2,1,1.5
63,2016,인천연수서,6,8,1058,1615,4,3,3,4,3.5
64,2016,인천삼산서,2,8,1407,2372,4,4,4,2,3.5
65,2016,광주동부서,3,8,832,1142,4,3,3,3,3.25
66,2016,광주서부서,2,11,1417,2288,4,4,4,2,3.5
67,2016,광주북부서,6,7,1788,2142,4,4,4,4,4.0
68,2016,광주광산서,5,17,1247,1999,4,4,4,4,4.0
69,2016,광주남부서,1,4,768,1028,3,2,2,2,2.25
70,2016,대전중부서,3,6,1472,2248,3,4,4,3,3.5
71,2016,대전동부서,7,7,1340,1668,4,4,3,4,3.75
72,2016,대전서부서,1,5,1032,1253,3,3,3,2,2.75
73,2016,대전대덕서,6,8,801,1044,4,3,2,4,3.25
74,2016,대전둔산서,3,4,1085,1602,3,3,3,3,3.0
75,2016,대전유성서,5,5,1253,1358,3,4,3,4,3.5
76,2016,울산남부서,9,13,1509,2912,4,4,4,4,4.0
77,2016,울산중부서,8,12,1183,2227,4,3,4,4,3.75
78,2016,울산울주서,4,5,716,1366,3,2,3,3,2.75
79,2016,울산동부서,1,3,809,1288,2,3,3,2,2.5
80,2016,경기수원중부서,7,6,1585,2673,3,4,4,4,3.75
81,2016,경기수원남부서,13,12,2538,3295,4,4,4,4,4.0
82,2016,경기수원서부서,9,8,1511,1903,4,4,4,4,4.0
83,2016,경기안양동안서,6,4,959,1654,3,3,3,4,3.25
84,2016,경기안양만안서,4,3,1039,2066,2,3,4,3,3.0
85,2016,경기군포서,1,3,838,1416,2,3,3,2,2.5
86,2016,경기성남수정서,4,2,1193,1760,2,3,3,3,2.75
87,2016,경기성남중원서,5,2,1211,1924,2,3,4,4,3.25
88,2016,경기분당서,0,13,1566,1871,4,4,4,1,3.25
89,2016,경기부천소사서,4,3,958,1086,2,3,2,3,2.5
90,2016,경기부천원미서,8,13,2755,3523,4,4,4,4,4.0
91,2016,경기부천오정서,5,1,762,1235,2,2,3,4,2.75
92,2016,경기광명서,2,4,1221,2074,3,3,4,2,3.0
93,2016,경기안산단원서,16,8,1994,3406,4,4,4,4,4.0
94,2016,경기안산상록서,8,11,1294,2413,4,4,4,4,4.0
95,2016,경기시흥서,15,9,1501,3141,4,4,4,4,4.0
96,2016,경기평택서,10,8,1812,3830,4,4,4,4,4.0
97,2016,경기화성동부서,10,2,1958,3105,2,4,4,4,3.5
98,2016,경기화성서부서,8,3,932,1568,2,3,3,4,3.0
99,2016,경기용인동부서,12,5,1496,2625,3,4,4,4,3.75
100,2016,경기용인서부서,3,0,965,1415,1,3,3,3,2.5
101,2016,경기광주서,13,4,880,1789,3,3,3,4,3.25
102,2016,경기과천서,1,1,160,301,2,1,1,2,1.5
103,2016,경기의왕서,2,1,234,568,2,2,2,2,2.0
104,2016,경기하남서,3,0,529,791,1,2,2,3,2.0
105,2016,경기이천서,1,2,634,1498,2,2,3,2,2.25
106,2016,경기김포서,4,6,1007,1297,3,3,3,3,3.0
107,2016,경기안성서,6,3,785,1119,2,3,2,4,2.75
108,2016,경기여주서,7,0,448,687,1,2,2,4,2.25
109,2016,경기양평서,7,2,281,531,2,2,2,4,2.5
110,2016,경기의정부서,13,17,1752,3312,4,4,4,4,4.0
111,2016,경기고양서,4,8,1123,2059,4,3,4,3,3.5
112,2016,경기일산동부서,7,3,1458,2564,2,4,4,4,3.5
113,2016,경기일산서부서,0,0,22,41,1,1,1,1,1.0
114,2016,경기남양주서,10,9,1476,3401,4,4,4,4,4.0
115,2016,경기파주서,5,4,1293,2085,3,4,4,4,3.75
116,2016,경기양주서,2,2,446,1322,2,2,3,2,2.25
117,2016,경기동두천서,1,0,344,729,1,2,2,2,1.75
118,2016,경기구리서,6,1,936,1543,2,3,3,4,3.0
119,2016,경기포천서,6,3,548,1111,2,2,2,4,2.5
120,2016,경기가평서,1,0,201,472,1,2,2,2,1.75
121,2016,경기연천서,2,0,143,234,1,1,1,2,1.25
122,2016,강원강릉서,0,5,762,1824,3,2,3,1,2.25
123,2016,강원고성서,2,0,53,131,1,1,1,2,1.25
124,2016,강원동해서,3,2,178,703,2,1,2,3,2.0
125,2016,강원삼척서,2,0,225,585,1,2,2,2,1.75
126,2016,강원속초서,0,5,392,932,3,2,2,1,2.0
127,2016,강원양구서,1,0,56,66,1,1,1,2,1.25
128,2016,강원영월서,1,0,69,151,1,1,1,2,1.25
129,2016,강원원주서,7,2,1311,2941,2,4,4,4,3.5
130,2016,강원인제서,1,0,50,133,1,1,1,2,1.25
131,2016,강원정선서,3,2,240,210,2,2,1,3,2.0
132,2016,강원철원서,1,0,101,125,1,1,1,2,1.25
133,2016,강원춘천서,6,5,1117,1818,3,3,3,4,3.25
134,2016,강원태백서,0,3,118,383,2,1,2,1,1.5
135,2016,강원평창서,0,0,120,158,1,1,1,1,1.0
136,2016,강원홍천서,0,3,203,420,2,2,2,1,1.75
137,2016,강원화천서,0,0,43,92,1,1,1,1,1.0
138,2016,강원횡성서,1,1,128,181,2,1,1,2,1.5
139,2016,충북괴산서,2,2,221,231,2,2,1,2,1.75
140,2016,충북단양서,0,0,91,138,1,1,1,1,1.0
141,2016,충북보은서,0,0,92,127,1,1,1,1,1.0
142,2016,충북영동서,3,0,98,148,1,1,1,3,1.5
143,2016,충북옥천서,0,2,108,189,2,1,1,1,1.25
144,2016,충북음성서,5,2,282,624,2,2,2,4,2.5
145,2016,충북제천서,4,2,463,803,2,2,2,3,2.25
146,2016,충북진천서,3,1,280,471,2,2,2,3,2.25
147,2016,충북청주청원서,5,7,1345,1693,4,4,3,4,3.75
148,2016,충북청주흥덕서,2,6,1309,2319,3,4,4,2,3.25
149,2016,충북충주서,8,0,783,1041,1,3,2,4,2.5
150,2016,충북청주상당서,0,4,1058,1532,3,3,3,1,2.5
151,2016,충남천안서북서,12,4,1725,2053,3,4,4,4,3.75
152,2016,충남천안동남서,3,4,1555,1542,3,4,3,3,3.25
153,2016,충남서산서,6,5,922,1298,3,3,3,4,3.25
154,2016,충남아산서,5,9,1254,1862,4,4,4,4,4.0
155,2016,충남논산서,3,1,580,566,2,2,2,3,2.25
156,2016,충남공주서,2,6,439,402,3,2,2,2,2.25
157,2016,충남보령서,2,7,462,397,4,2,2,2,2.5
158,2016,충남당진서,2,3,607,868,2,2,2,2,2.0
159,2016,충남세종서,2,4,639,826,3,2,2,2,2.25
160,2016,충남홍성서,5,1,351,422,2,2,2,4,2.5
161,2016,충남예산서,2,2,266,319,2,2,2,2,2.0
162,2016,충남부여서,4,0,206,172,1,2,1,3,1.75
163,2016,충남서천서,4,2,135,133,2,1,1,3,1.75
164,2016,충남금산서,1,2,152,171,2,1,1,2,1.5
165,2016,충남청양서,0,0,73,85,1,1,1,1,1.0
166,2016,전북고창서,1,0,148,246,1,1,1,2,1.25
167,2016,전북군산서,3,8,1004,1758,4,3,3,3,3.25
168,2016,전북김제서,1,0,241,447,1,2,2,2,1.75
169,2016,전북남원서,0,2,239,466,2,2,2,1,1.75
170,2016,전북무주서,0,0,61,74,1,1,1,1,1.0
171,2016,전북부안서,0,1,143,229,2,1,1,1,1.25
172,2016,전북순창서,0,0,46,58,1,1,1,1,1.0
173,2016,전북완주서,1,0,257,309,1,2,2,2,1.75
174,2016,전북익산서,9,15,1152,1703,4,3,3,4,3.5
175,2016,전북임실서,0,0,43,82,1,1,1,1,1.0
176,2016,전북장수서,0,0,61,79,1,1,1,1,1.0
177,2016,전북전주덕진서,2,7,1113,1378,4,3,3,2,3.0
178,2016,전북전주완산서,8,5,1273,1710,3,4,3,4,3.5
179,2016,전북정읍서,3,1,246,573,2,2,2,3,2.25
180,2016,전북진안서,0,0,38,44,1,1,1,1,1.0
181,2016,전남목포서,6,5,1264,2328,3,4,4,4,3.75
182,2016,전남여수서,3,6,1064,1966,3,3,4,3,3.25
183,2016,전남순천서,5,4,882,1705,3,3,3,4,3.25
184,2016,전남나주서,2,0,366,464,1,2,2,2,1.75
185,2016,전남광양서,2,5,398,681,3,2,2,2,2.25
186,2016,전남고흥서,2,0,169,296,1,1,1,2,1.25
