,발생연도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
168,2019,태안,1,0,207,271,1,2,1,2,1.5
169,2019,고창,0,1,159,203,2,1,1,1,1.25
170,2019,군산,5,7,925,1640,4,3,3,4,3.5
171,2019,김제,1,0,219,387,1,2,2,2,1.75
172,2019,남원,3,2,202,352,2,2,2,3,2.25
173,2019,무주,0,0,51,105,1,1,1,1,1.0
174,2019,부안,0,1,187,248,2,1,1,1,1.25
175,2019,순창,0,1,72,81,2,1,1,1,1.25
176,2019,완주,0,0,217,345,1,2,2,1,1.5
177,2019,익산,11,2,1093,1612,2,3,3,4,3.0
178,2019,임실,1,0,39,76,1,1,1,2,1.25
179,2019,장수,0,0,42,61,1,1,1,1,1.0
180,2019,전주덕진,6,5,1055,1355,3,3,3,4,3.25
181,2019,전주완산,6,5,1150,1632,3,3,3,4,3.25
182,2019,정읍,1,1,363,501,2,2,2,2,2.0
183,2019,진안,0,0,44,76,1,1,1,1,1.0
184,2019,목포,4,8,1225,2054,4,4,4,3,3.75
185,2019,여수,1,3,897,1978,2,3,4,2,2.75
186,2019,순천,4,1,782,1688,2,3,3,3,2.75
187,2019,나주,3,4,370,415,3,2,2,3,2.5
188,2019,광양,1,0,372,756,1,2,2,2,1.75
189,2019,고흥,2,1,150,298,2,1,1,2,1.5
190,2019,해남,1,1,201,274,2,2,1,2,1.75
191,2019,장흥,0,0,143,217,1,1,1,1,1.0
192,2019,보성,0,0,109,155,1,1,1,1,1.0
193,2019,영광,1,1,111,197,2,1,1,2,1.5
194,2019,화순,1,0,150,283,1,1,1,2,1.25
195,2019,함평,1,3,80,110,2,1,1,2,1.5
196,2019,영암,1,1,191,280,2,1,1,2,1.5
197,2019,장성,0,0,88,180,1,1,1,1,1.0
198,2019,강진,3,1,75,218,2,1,1,3,1.75
199,2019,담양,0,0,140,168,1,1,1,1,1.0
200,2019,곡성,0,1,52,96,2,1,1,1,1.25
201,2019,완도,1,1,148,300,2,1,1,2,1.5
202,2019,무안,1,1,187,225,2,1,1,2,1.5
203,2019,진도,0,0,111,159,1,1,1,1,1.0
204,2019,구례,0,0,75,138,1,1,1,1,1.0
205,2019,경주,3,5,1017,1254,3,3,3,3,3.0
206,2019,포항북부,4,1,1000,1483,2,3,3,3,2.75
207,2019,포항남부,1,3,991,1277,2,3,3,2,2.5
208,2019,구미,5,3,1521,1931,2,4,4,4,3.5
209,2019,경산,3,3,1087,1660,2,3,3,3,2.75
210,2019,안동,2,1,458,849,2,2,2,2,2.0
211,2019,김천,2,2,416,825,2,2,2,2,2.0
212,2019,영주,2,2,240,522,2,2,2,2,2.0
213,2019,영천,1,3,358,517,2,2,2,2,2.0
214,2019,상주,2,0,287,428,1,2,2,2,1.75
215,2019,문경,1,0,169,366,1,1,2,2,1.5
216,2019,칠곡,2,1,354,599,2,2,2,2,2.0
217,2019,의성,3,0,151,193,1,1,1,3,1.5
218,2019,청도,1,0,91,233,1,1,1,2,1.25
219,2019,영덕,1,0,109,187,1,1,1,2,1.25
220,2019,울진,1,0,98,220,1,1,1,2,1.25
221,2019,봉화,0,0,45,103,1,1,1,1,1.0
222,2019,예천,1,0,88,175,1,1,1,2,1.25
223,2019,성주,1,1,123,195,2,1,1,2,1.5
224,2019,청송,0,0,44,170,1,1,1,1,1.0
225,2019,영양,0,0,14,58,1,1,1,1,1.0
226,2019,군위,0,0,48,68,1,1,1,1,1.0
227,2019,고령,1,1,78,83,2,1,1,2,1.5
228,2019,울릉,0,0,12,44,1,1,1,1,1.0
229,2019,창원중부,2,3,1040,1400,2,3,3,2,2.5
230,2019,창원서부,2,3,833,1024,2,3,2,2,2.25
231,2019,마산중부,8,2,454,839,2,2,2,4,2.5
232,2019,마산동부,5,2,840,1230,2,3,3,4,3.0
233,2019,진주,4,3,1605,1675,2,4,3,3,3.0
234,2019,김해중부,1,7,1340,2157,4,4,4,2,3.5
