,경찰서,경찰_주소
593,진해,"경상남도 창원시 진해구  용원로41번길 12, 용원파출소"
594,통영,경상남도 통영시 광도면 죽림3로 25
595,통영,경상남도 통영시  무전대로 40
596,통영,경상남도 통영시  운하2길 17
597,통영,경상남도 통영시  중앙로 170
598,사천,경상남도 사천시  중앙로 89(동금동)
599,사천,경상남도 사천시 사천읍 평화2길 31(평화리)
600,밀양,경상남도 밀양시 상남면 밀양대로 1881
601,거창,경상남도 거창군 거창읍 중앙로1길 20-5
602,합천,경상남도 합천군 합천읍 충효로 106-5
603,창녕,경상남도 창녕군 영산면 영산계성로 96
604,고성,경상남도 고성군 대가면 대가로 27
605,남해,경상남도 남해군 남해읍 화전로96번길 30 중앙지구대
606,산청,경상남도 산청군 산청읍 중앙로 34 
607,함안,경상남도 함안군 가야읍 가야로 24
608,함안,경상남도 함안군 칠원읍 구성길 9
609,의령,경남 의령군 의령읍 의병로 176
610,제주동부,제주특별자치도 제주시  북성로 3
611,제주동부,제주특별자치도 제주시  연신로 6
612,제주동부,제주특별자치도 제주시  서광로 182
613,제주동부,제주특별자치도 제주시  일주동로 397
614,제주서부,제주특별자치도 제주시  신대로 97
615,제주서부,제주특별자치도 제주시  광평동로 4
616,제주서귀포,제주특별자치도 서귀포시  태평로 552
